#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Documentary,#genre#
3 Plus[geo-blocked],https://epg.pw/stream/8307628d1eb1e136d9b61d50189fe135a92a631a233ec1fff404d2d75fabfc12.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/0ca25d7be617b180b813a018d1b2c0c17f70e8cd62766aa0d5656037374c31dd.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/9e66b21c971de5df94625fffd34ecebb7bcc63df8cba9872ff4b3a76ff036ca7.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/d5a133ffaace00495306317643f8d5f38425cf3af476f1537a73f3ede79990c3.m3u8
3 Plus,https://epg.pw/stream/4827de2140298b50c9cb5a8c062e8fdacf2b41051e28c15fc3f22c4daa38520f.m3u8
3 Plus,https://epg.pw/stream/b02c5a4561294fee7d1992807a7cea345e568abe142fab5417fcf417962e32d6.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/012559add64e968960a84262752253d0ae36013526a20c9eef3e955bbb6b8b7d.m3u8
3 Plus,https://epg.pw/stream/eb5313428438a2b27bb45f8b57cba3dc5146b00f30ba8d02442c4c4cd0cf0512.ctv
3 Plus,https://epg.pw/stream/d14feb0497f42f8b67a3ed07eb43a05c0f0763e56d0c2629964551f51a45f60e.ctv
3 Plus,https://epg.pw/stream/1745b2b846b7cc7a4f7a59c11754e32e592ee56191514a51cf72aed60b3611c2.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/4a27813bbc359b993e51c0b865acc04baab3970141164bf0e7e908fb8a13a601.m3u8
3 Plus,https://epg.pw/stream/e4315f9ee6e4d32e9fd42817f3b37c8e866255455284cfc44a631f7037c51f90.m3u8
3 Plus,https://epg.pw/stream/bf10e8d6f4883da3e0f62d763fa55e449d475ae999a78b9e36d6f380501b6ef3.m3u8
3 Plus,https://epg.pw/stream/15270ebdf6d15e252f611422059ee438714da1be0a30a377e2bb2ad315494034.m3u8
3 Plus,https://epg.pw/stream/adecb0d47ef9b49cc7afdf2736fbce7138267fc6cad9b2c7f255e436f55c379c.m3u8
3 Plus,https://epg.pw/stream/21bc569a8732b70df16d67aa8a8ac95290b7d0b1bb821449f9d4151202d9df09.m3u8
3 Plus,https://epg.pw/stream/60827049e537d7a376b38bb82240467597164dbb22346b35116317a47233224c.m3u8
3 Plus,https://epg.pw/stream/3e343a114eb310cb5c6f7179acbec6872c6830152b03043e96e96025fa969bf1.ctv
3 Plus[geo-blocked],https://epg.pw/stream/afed5b71e8b20e9700a2d32d02261f291d26f188c5ba55c019f488c529369970.ctv
3 Plus[geo-blocked],https://epg.pw/stream/b05f7bb7a51400dc41a8ba70c63fc7b47d1d473e0f6cf18b6d593af554bf2cdd.m3u8
3 Plus,https://epg.pw/stream/f232d5bf736a25897fd48d38a00fcfb7b29b6184bc3dc3cc305024bd656de625.m3u8
3 Plus[geo-blocked],https://epg.pw/stream/81e1eb64ff2fe6d10cf1cf2fd5ff40ec4b59d9d40c1f24c2acd8c30e489c5678.m3u8
3 Plus,https://epg.pw/stream/f7300348ea4de99c6a61f996d281c8577e612a4fc60d0fb4c73ee0fb0393d397.m3u8
3 Plus,https://epg.pw/stream/e26c6df64bfcc25e8e92db4a416d3cf32025fecbea8369b96cb2f0f888ca237a.m3u8
RTV 21 HD Albania[geo-blocked],https://epg.pw/stream/15034943228dce831fe57acef63838064726565c85d79da1a8fd88c65b4838dc.ctv
RTV 21 HD Albania,https://epg.pw/stream/72651335f1ac21e49bd694a913a32033a4b35458177cd78236b591ef27f12d97.ctv
RTV 21 HD Albania,https://epg.pw/stream/e4a986e1e8730ce6106696e6ebb08101f491d95deebd10c5fba9e22bf40727ca.ctv
RTV 21 HD Albania[geo-blocked],https://epg.pw/stream/a581867c3416390d98f4cf0a68c6c8dc07fa07f9b4b89a8faab438e17ae5b5c8.ctv
RTV 21 Plus Albania,https://epg.pw/stream/5cd4e77b6a407d763bb7cbcedc5c2ccccf2780aa7d7817de92a00d09f5e39b6c.ctv
RTV 21 Plus Albania,https://epg.pw/stream/2af77ec778fb8c9c1c56e9899b60a8435f1d49cfc936f35236859fa6ad3f06b7.ctv
RTV 21 Plus Albania[geo-blocked],https://epg.pw/stream/fdf7b0a891a4097c558f4ca73f615957e7fdcef4f9a423271604742e1cea3e98.ctv
RTV 21 Plus Albania[geo-blocked],https://epg.pw/stream/624fdb990d617fa53a07c514a4afc03287f133a4ffb96081f16cfd2de9159ed4.ctv
RTV 21 SD Albania,mmsh://212.200.255.151/rtv2
Smile TV Albania,https://epg.pw/stream/37c28f99b2617087afeea4af68815ee08e421407c5c1ded3c784ac8aff9b76b2.m3u8
Smile TV Albania,https://epg.pw/stream/55d20966710dcd84294dc1184bc0068beb2deacf607f78a4315fa70fe1131049.m3u8
Tip TV[geo-blocked],https://epg.pw/stream/2d1d27bdca164434ca42db355caa1294a435d61c621b3d1d5dc37b23f4aea586.m3u8
Tip TV,https://epg.pw/stream/dc16aae563730c9ade1e5f746cfb00a73dfd0900ce6242ba5932c0799c5f6496.ctv
Tip TV,https://epg.pw/stream/6dc91b3b5c2537a8b8ef0c1042a299cae07e647d37b9190c8b8bd387b035668e.ctv
Tring Shqip Albania,https://epg.pw/stream/801e1c6f760471a62a0291a32648e63b8dc52c1b804dc373f732f643c769b721.ctv
Tring Shqip Albania,https://epg.pw/stream/120be1f8b5a5233b48656a758973c261648689f3d47f1146acbc1729063e650b.ctv
Movie,#genre#
FIlm Thriller Albania[geo-blocked],https://epg.pw/stream/7d9cc8e53c748b7cba9768c5a5df756a906f73e1ef99920347c0e913b3480d1f.ctv
FIlm Thriller Albania,https://epg.pw/stream/01529d5459a31f802e53596e8e88bffe2383a2459f408072852253cee32a0da4.ctv
FIlm Thriller Albania,https://epg.pw/stream/d000c06ab49f5ca2490718f7cd567daaf033c68c3c8a989354a48c87b6282444.ctv
FIlm Thriller Albania,https://epg.pw/stream/0ee3941f9f3753cf90cbc6625fbbca178306fe99ea34bd22e12f1f60bba71741.ctv
FIlm Thriller Albania[geo-blocked],https://epg.pw/stream/fee9e1fe5a64416d6355e0d609e3e3a2305c8a72fe43ddd80e4b7a4e171b1608.ctv
Film Aksion Albania,https://epg.pw/stream/d492b58a6dd807812521cdf7519ec290b0380f64a9d161a79cf9aad68b0c9ee9.ctv
Film Aksion Albania[geo-blocked],https://epg.pw/stream/f6c43910e3752b396bafdedd92710265c7d628710ea8e726e4d396005ce8ec13.ctv
Film DY HD Albania,https://epg.pw/stream/b636e42a1cb81e73cf9787281c55d44a65cc53f26b9c76c21a0bb39cacda1866.ctv
Film DY HD Albania[geo-blocked],https://epg.pw/stream/fb1948f492bf2c06bb4146553a2b7467a81793492059af8b59ffe7fc27091570.ctv
Film Drame Albania,https://epg.pw/stream/6b9e50b596344eea938696c3919d563e4099ccd25dfd108f763786be0f6103ef.ctv
Film Drame Albania,https://epg.pw/stream/dc0e9110391d022c230714967887efd8984f89b301c6983b95b1a660169e59a1.ctv
Tring Fantasy Albania[geo-blocked],https://epg.pw/stream/7b4d5faa1602654c3f1a2f808eda41f568aeac027b5192dc82243f44a312ed7d.m3u8
Tring Fantasy Albania[geo-blocked],https://epg.pw/stream/96ba68747b2f79d084e057d6c1f464e15b2368c61dc57ec268cc1ad1e73f7747.m3u8
Tring Super Albania,https://epg.pw/stream/06c7114614eae14e96b38a785a25448767259297ec14a06a435597298a29e35c.ctv
Tring Super Albania,https://epg.pw/stream/36164feaddc29832df1595a32325950676abab26577875ecb8115f8ae6d70833.ctv
Tring Super Albania,https://epg.pw/stream/410b7e50758c16bfb0488fbb253af380bd30fa505cfc5edded027fdb9b501307.ctv
Tring Super Albania,https://epg.pw/stream/8743ee406a9eab4e40dbaeb93a11df757ae95962e8051cd28b1dcb1a5998010b.ctv
Vizion Plus Albania[geo-blocked],https://epg.pw/stream/e84b92fd90a316d771ff7b2213b750996897c95baf516871687389113d3c8edd.ctv
Vizion Plus Albania,https://epg.pw/stream/739905ec64b54d1b5f5172eaea020cb3c65de6c24501a6b5a5d0655c028b9cfa.ctv
Vizion Plus Albania,https://epg.pw/stream/b2088c3b953f6ec3618cc70e285da4fb7492871a7abe802f4d07eacde6c1b851.ctv
Vizion Plus Albania,https://epg.pw/stream/3fed340bc20f1dbaefedc37a95a85b0c9d52c0cbdb3e5a13508ac4de3858dcbf.m3u8
Vizion Plus Albania,https://epg.pw/stream/594f07028656ec8cf4ef8f12afe7c9b3e681b4233f2a054a23ae1a3cf085e803.m3u8
Vizion Plus Albania,https://epg.pw/stream/3f873efc60aadc768cd2d3f187ce3b9085a65d5f01b0032a12247b864c25a3d6.ctv
Vizion Plus Albania,https://epg.pw/stream/e8f8b5467b397a0ec5bd099a0fe66d9ebf7e09f568ced3f5caec03a38ca81551.m3u8
Vizion Plus Albania[geo-blocked],https://epg.pw/stream/5a87c25f8de186343e1dc1ed2435b996c9ed76f391fadd447ce05360d6cc0d37.m3u8
Vizion Plus Albania[geo-blocked],https://epg.pw/stream/4b3f2c8843208ab7bf0e15e25e839a7b8bf8e7d761fc819f5a25a251c94b7e3a.m3u8
Vizion Plus Albania[geo-blocked],https://epg.pw/stream/3f03bae0eaa9a3fd2c10f873540adbfdae7c179cd2c45ecce277f32834fb0246.m3u8
News,#genre#
Kanali 7 News,https://epg.pw/stream/194ace45192271f06a2c036874b4a09d43d66b1f012a3ada97b63a2b88ddb9a8.ctv
Kanali 7 News,https://epg.pw/stream/368ad37ff2fc41527da5752ef72c57cf7bf26a1b5871e6a17f9f11b3507ff4e6.ctv
Kanali 7 News,https://epg.pw/stream/9c570b57b8cb51e3ce3be2a6b5d427f459b617c104ae87f018e1734f910a09b2.ctv
Kanali 7 News[geo-blocked],https://epg.pw/stream/522e11fbe650b6d827919baf456ab4164af658e385cd63642f25ffa9c0a13805.m3u8
ORA NEWS ALBANIA,https://epg.pw/stream/7a9c80d670c5d22c2f4f8b64770feb9d6f7653a91b7810368323393dd2ff4268.ctv
ORA NEWS ALBANIA,https://epg.pw/stream/a2e77e7ae6ab12a2ba2e7cce2e4fb7aaa4b6bd457c3bcd8ea85b840d23b4d5ff.ctv
Other,#genre#
DIGITALB,https://epg.pw/stream/d74363d836b389ed18f650e61d031e01c69b022c5ead821719d6627c4f36de06.m3u8
Sport,#genre#
RTSH Sport HD,https://epg.pw/stream/6ee8236256c33ee56a22bf73fa83bc43df1015826ce6ec711a79f5efd4185897.ctv
RTSH Sport HD,https://epg.pw/stream/244bc6ca32e013d03c3c131c74cc5ad607ec23de71eb73e51967d3706ff1154c.ctv
RTSH Sport HD[geo-blocked],https://epg.pw/stream/723e55141ff7712be80963e0867316898caa6c6c71027d2195179f48b8381177.m3u8
RTSH Sport HD,https://epg.pw/stream/dffb558e92a2777867408aa0e834b635ca4d431f935ea645b133d5b6e36b07ef.ctv
Super Sport 1 HD,https://epg.pw/stream/9c415f7a68a9d60a859b78e20c4b3a36799c48ddcf56f17d9cde5ac4397baac0.ctv
Super Sport 1 HD,https://epg.pw/stream/381d871ca95994b70975f96d0aa0e58a2682a8ddc4f435ca1436b61aaaff414e.ctv
Super Sport 1 HD,https://epg.pw/stream/616a65419a035f49092f15d7dac5702c57a77252b32e9d85915d80879e14fb57.ctv
Super Sport 2 HD,https://epg.pw/stream/cea4dda69cc244f4d61a3b123a68868a7428013f11b71fc9098f977c9e138a4b.ctv
Super Sport 2 HD,https://epg.pw/stream/3ec5c4f33d9f8499f743c90d2cd154c042662291080761cdd8fb9c3f0988fafa.ctv
Super Sport 3 HD,https://epg.pw/stream/24864d69ddf5b62a0a298a27b5498d4fe1a2f51cc5ce4f42840ff6e3ec8e89ef.ctv
Super Sport 3 HD,https://epg.pw/stream/03fc5b1cfbc850180096d885bd6159f3ed952352bf8def33d89187d206dc0882.ctv
Super Sport 4 HD[geo-blocked],https://epg.pw/stream/2ad1959d892701ad6f8adc7e2e80f4643f280be844b2cc2fe56a17f5d03b7844.m3u8
Super Sport 4 HD[geo-blocked],https://epg.pw/stream/e56df7af092a7d25fc71f88f59bba3551993ac5246b1c2b9cd38f083a7f64e73.ctv
Tele Sport,https://epg.pw/stream/e88ccf429d9a3fb4551830a8cebaf25353e26d851ac7c7c7502cb28c144c6f97.m3u8
Tele Sport[geo-blocked],https://epg.pw/stream/c1450dfe5b45a4763da746da4339dd5698eabdfdf685ca324ebe6ca6af4e622e.ctv
Tele Sport,https://epg.pw/stream/e25bbd1393de27b44148eee7d3c1a9e19e07b49da25333cecfd34349c20d310c.ctv
Tele Sport,https://epg.pw/stream/1635456526091a7a665268267df2e3cf56cc86c2eccd0f34f191f81e675d35c8.ctv
Tele Sport[geo-blocked],https://epg.pw/stream/d9c07e9aa5b3c8142dc29049cae86dd34eaa6a53b55ce9804df91a7dfadcb577.m3u8
Tele Sport,https://epg.pw/stream/824dac0c50b42c7f6cd3534a0e843cef6ecbfbc7352987fd4ff19315f5b0c0ed.ctv
Tele Sport[geo-blocked],https://epg.pw/stream/15959ea4351d84c941d463f86d09d55745571f66c095ecf7af06eff719b849e7.ctv
Tele Sport[geo-blocked],https://epg.pw/stream/592af2ed4dd581315cb96afb7a30e1e7a6a96f89cd72f6469e115e94d8fad298.ctv
Tring Sport 3 Albania,https://epg.pw/stream/27da1ae019cccd568f33fbfeacac6147b6270c43ea5bafed1efc9c6982f8b852.ctv
Tring Sport 3 Albania,https://epg.pw/stream/de896d0eab9de79034f4809211c35d921b37c1222a71a8aa4d332e66175001f7.ctv
